bc,bn,md,ttm,duration,cr %,m,,,,,,,ty %,tn
A05111,105央甲11,115/09/07,7.27,7.06,0.625,1-Jan,-,-,0.635,99.9287,-,-,0.6631,99.7296
A05113,105央甲13,110/10/25,2.41,2.37,0.625,1-Jan,-,-,-,-,-,-,0.5235,100.2415
A05114,105央甲14,135/11/25,27.49,21.7,2,1-Jan,-,-,-,-,-,-,1.038,122.9028
A06102,106央債甲2,111/01/23,2.65,2.62,0.75,1-Jan,0.545,100.5378,0.515,100.617,-,-,0.5316,100.5731
A06103,106央債甲3,126/02/20,17.73,15.36,1.75,1-Jan,-,-,-,-,-,-,0.9252,113.4281
A06104,106央債甲4,116/03/01,7.75,7.41,1.125,1-Jan,-,-,0.65,103.5799,-,-,0.6728,103.4047
A06105,106央債甲5,111/04/21,2.89,2.86,0.75,1-Jan,-,-,-,-,-,-,0.538,100.6068
A06106,106央債甲6,136/05/26,27.99,22.41,1.875,1-Jan,-,-,-,-,-,-,1.0412,120.1531
A06107,106央債甲7,108/07/27,0.16,0.16,0.5,1-Jan,-,-,-,-,-,-,0.4774,100.0034
A06108,106央債甲8,126/08/18,18.22,15.87,1.5,1-Jan,-,-,-,-,-,-,0.9375,109.3792
A06109,106央債甲9,116/09/20,8.31,7.91,1,1-Jan,-,-,-,-,-,-,0.6864,102.5241
A06110,106央甲10,111/10/18,3.39,3.33,0.625,1-Jan,0.56,100.217,0.51,100.3847,-,-,0.5497,100.2516
A06111,106央甲11,136/11/24,28.49,23.04,1.625,1-Jan,-,-,-,-,-,-,1.0459,114.2019
A07101,107央債甲1,112/01/12,3.62,3.57,0.625,1-Jan,0.57,100.1962,0.53,100.3395,-,-,0.5553,100.2487
A07102,107央債甲2,117/02/08,8.7,8.3,1,1-Jan,-,-,-,-,-,-,0.6965,102.5517
A07103,107央債甲3,127/03/13,18.79,16.57,1.375,1-Jan,-,-,-,-,-,-,0.9497,107.2855
A07104,107央債甲4,137/05/18,28.97,23.77,1.5,1-Jan,-,-,-,-,-,-,1.0482,111.2362
A07105,107央債甲5,117/06/08,9.03,8.59,0.875,1-Jan,-,-,-,-,-,-,0.7061,101.4712
A07106,107央債甲6,109/06/28,1.08,1.07,0.5,1-Jan,-,-,-,-,-,-,0.4859,100.0151
A07107,107央債甲7,112/07/20,4.14,4.06,0.625,1-Jan,0.58,100.1833,0.565,100.2446,-,-,0.5699,100.2245
A07108,107央債甲8,127/09/21,19.31,17.2,1.125,1-Jan,-,-,-,-,-,-,0.9625,102.8507
A07109,107央債甲9,117/10/17,9.39,8.94,0.875,1-Jan,0.7144,101.4519,0.71,101.492,0.71,101.492,0.7167,101.4307
A07110,107央甲10,137/11/09,29.45,24.22,1.375,1-Jan,-,-,-,-,-,-,1.0501,108.1912
A07111,107央甲11,112/11/23,4.49,4.39,0.75,1-Jan,0.59,100.7056,0.562,100.8298,-,-,0.5817,100.7424
